headline,date,doc_type,material_type,section,keywords
"Irving Burgie, Who Wrote Calypso Hits for Harry Belafonte, Dies at 95",2019-12-01,article,Obituary (Obit),,"['Music', 'Deaths (Obituaries)']"
Winter Storm Brings Snow to at Least 30 States,2019-12-03,article,News,,"['Snow and Snowstorms', 'Weather']"
‘Forbidden Broadway’ to Move to the York Theater Company,2019-12-02,article,News,,['Theater']
The One Assignment for Everyone at The Times: The Neediest Cases,2019-12-03,article,News,,['Philanthropy']
Dissecting Brett Kavanaugh’s ‘Supreme Ambition’,2019-12-02,article,Review,,"['Books and Literature', 'United States Politics and Government', 'Sexual Harassment']"
Justin Fields Has ‘Heisman Moment’ in Ohio State’s Win Over Michigan,2019-12-01,article,News,,['Football (College)']
How Far Can Cities Go to Police the Homeless? Boise Tests the Limit,2019-12-03,article,News,,"['Homeless Persons', 'Loitering', 'Elections, Mayors', 'Suits and Litigation (Civil)', 'Eighth Amendment (US Constitution)', 'Public Property']"
"Lil Bub, Pioneer in Internet-Famous Cats, Dies at 8",2019-12-03,article,News,,"['Cats', 'Social Media', 'Computers and the Internet']"
"Italians Celebrate Their Coffee and Want the World to Do So, Too",2019-12-03,article,News,,"['Coffee', 'Coffeehouses']"
"NASA Finds India’s Vikram Moon Lander Crash Site, With Amateur’s Help",2019-12-02,article,News,,"['Moon', 'Space and Astronomy', 'Cameras']"
The Week in Business: The King of Luxury Just Got Even Richer,2019-12-01,article,News,,"['Mergers, Acquisitions and Divestitures', 'High Net Worth Individuals']"
F.D.A. Nominee Clears Senate Panel,2019-12-03,article,News,,"['Appointments and Executive Changes', 'United States Politics and Government', 'your-feed-healthcare']"
Time’s Up Blasts Gabrielle Union’s Ouster as Reality Show Judge,2019-12-02,article,News,,"['Television', 'ACTORS AND ACTRESSES', 'Blacks', 'Black People', 'Discrimination', 'Workplace Hazards and Violations']"
Should College Be Free?,2019-12-03,article,Op-Ed,,"['Colleges and Universities', 'Tuition']"
"From a Russian Banker, a $4 Million Mansion and a 200-Foot Yacht",2019-12-03,article,News,,['Corruption (Institutional)']
Amazon Removes Holiday Ornaments With Images of Auschwitz After Criticism,2019-12-02,article,News,,"['Holocaust and the Nazi Era', 'E-Commerce', 'Black Friday and Cyber Monday (Shopping)', 'Shopping and Retail', 'ADVERTISING AND MARKETING', 'Concentration Camps']"
Teaching Resilience in the Face of Climate Change,2019-12-02,article,News,,"['Global Warming', 'Floods', 'Education (K-12)', 'Disasters and Emergencies']"
"Ellie Krupnick, Daniel Aronhime",2019-12-01,article,News,,['Weddings and Engagements']
Teachers and Other Readers Sound Off on International Exam Results,2019-12-03,article,News,,"['Tests and Examinations', 'Reading and Writing Skills (Education)', 'Education (K-12)', 'Children and Childhood', 'Illiteracy', 'Graduation Rates', 'Teachers and School Employees']"
A Deep-Sea Magma Monster Gets a Body Scan,2019-12-03,article,News,,"['Volcanoes', 'Oceans and Seas', 'Geology', '3-D Devices and Effects', 'Ships and Shipping', 'Sensors', 'Scanning Devices', 'your-feed-science']"
Best Theater of 2019,2019-12-03,article,News,,"['Theater', 'Two Thousand Nineteen']"
"North Korea Touts New Resort, Seeking to Blunt U.N. Sanctions",2019-12-03,article,News,,"['Travel and Vacations', 'Politics and Government', 'Economic Conditions and Trends', 'Embargoes and Sanctions']"
Our Correspondent Discusses “The Jungle Prince of Delhi”,2019-12-02,article,News,,[]
Geffen Hall’s Renovation Could Transform How We Hear It,2019-12-03,article,News,,"['ACOUSTICS', 'Classical Music', 'Restoration and Renovation']"
Gov. Kemp of Georgia Is Expected to Tap Kelly Loeffler for Senate Seat,2019-12-02,article,News,,"['United States Politics and Government', 'Appointments and Executive Changes']"
Suspects in Mormon Family’s Killing Are Arrested in Mexico,2019-12-01,article,News,,"['Mormon Family Massacre (Mexico, 2019)', 'Drug Cartels', 'Murders, Attempted Murders and Homicides']"
"Russian Doping Blurs Innocence and Guilt, With Olympics Caught in Middle",2019-12-02,article,News,,"['Olympic Games (2020)', 'Doping (Sports)']"
"In Tense Exchange, Trump and Macron Put Forth Dueling Visions for NATO",2019-12-03,article,News,,"['United States International Relations', 'United States Politics and Government', 'Defense and Military Forces']"
The Snack You Need in Your Life,2019-12-03,article,News,,"['Poultry', 'Snack Foods']"
Outdated Borders Are Strangling Liberal Democracy,2019-12-03,article,News,,"['Secession and Independence Movements', 'Great Britain Withdrawal from EU (Brexit)', 'Politics and Government', 'Immigration and Emigration']"
Abolish Immigration Prisons,2019-12-02,article,Op-Ed,,"['Immigration and Emigration', 'Immigration Detention', 'Illegal Immigration', 'Asylum, Right of']"
"For Trump and Europe, a Surprising Role Reversal",2019-12-03,article,News,,['United States International Relations']
How a Curious Mammal Evolved Its Venom,2019-12-01,article,News,,"['Solenodons (Animals)', 'Poisoning and Poisons', 'Mammals', 'Genetics and Heredity', 'Evolution (Biology)', 'Endangered and Extinct Species', 'Research', 'your-feed-science']"
Watch 4 Decades of Inequality Drive American Cities Apart,2019-12-02,article,News,,"['Income Inequality', 'Economic Conditions and Trends', 'United States Economy', 'Wages and Salaries', 'Labor and Jobs', 'Urban Areas']"
"Kamala Harris Says She’s Still ‘in This Fight,’ but Out of the 2020 Race",2019-12-03,article,News,,"['Presidential Election of 2020', 'Campaign Finance', 'Blacks', 'Black People', 'Primaries and Caucuses', 'United States Politics and Government']"
"Kamala Harris, Impeachment, Titan: Your Tuesday Evening Briefing",2019-12-03,article,briefing,,[]
"Fighting Extradition, Huawei Executive Writes of ‘Moments of Fear’",2019-12-02,article,News,,['Extradition']
Review: A Young Soprano Meets the Hype at the Met Opera,2019-12-01,article,Review,,['Opera']
Do You Feel Safer When You Know You’re Being Watched?,2019-12-03,article,News,,[]
"Student With Gun Is Shot by Officer in Wisconsin High School, Police Say",2019-12-02,article,News,,['School Shootings and Armed Attacks']
"Daniella Berman, Anthony Cak",2019-12-01,article,News,,['Weddings and Engagements']
"Culver City, Calif.: A Movie Town Gets a Remake",2019-12-03,article,News,,['Real Estate and Housing (Residential)']
Trump Loses Appeal on Deutsche Bank Subpoenas,2019-12-03,article,News,,"['United States Politics and Government', 'Decisions and Verdicts', 'Banking and Financial Institutions', 'Trump Tax Returns']"
Democrats Ready Impeachment Report as Republicans Argue Trump Did Nothing Wrong,2019-12-02,article,News,,"['Presidential Election of 2020', 'Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'United States Politics and Government', 'Russian Interference in 2016 US Elections and Ties to Trump Associates']"
Letter of Recommendation: Badly Dubbed Movies,2019-12-03,article,News,,"['Dubbing (Entertainment)', 'Movies']"
Trump’s Behavior at the NATO Meeting,2019-12-03,article,Letter,,"['International Trade and World Market', 'United States Politics and Government']"
These Cocktails Are Garbage. Yum!,2019-12-02,article,News,,"['Waste Materials and Disposal', 'Cocktails and Mixed Drinks', 'Bars and Nightclubs']"
André Daguin Dies at 84; Chef Made Gascony (and a Dish) Famous,2019-12-03,article,Obituary (Obit),,"['Deaths (Obituaries)', 'Chefs', 'Restaurants', 'Cooking and Cookbooks', 'Hotels and Travel Lodgings']"
Be More Like Your Dog: Show Compassion for Other Species,2019-12-03,article,Letter,,"['Animal Abuse, Rights and Welfare', 'Dogs']"
Oshkosh Shooting Is Second in 2 Days at Wisconsin High Schools,2019-12-03,article,News,,['School Shootings and Armed Attacks']
"It’s 2039, and Your Beloved Books Are Dead",2019-12-02,article,Op-Ed,,"['Book Trade and Publishing', 'Books and Literature', 'Writing and Writers', 'Poetry and Poets', 'Libraries and Librarians', 'Printing and Allied Trades', 'Virtual Reality (Computers)', 'Science Fiction']"
Thinking About a Job or Career Change? Read This,2019-12-01,article,News,,[]
